timestamp;val
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,6379
1,57579E+12;32,638
1,57579E+12;32,638
1,57579E+12;32,638
1,57579E+12;32,638
1,57579E+12;32,6381
1,57579E+12;32,6381
1,57579E+12;32,6381
1,57579E+12;32,6382
1,57579E+12;32,6382
1,57579E+12;32,6382
1,57579E+12;32,6383
1,57579E+12;32,6383
1,57579E+12;32,6384
1,57579E+12;32,6384
1,57579E+12;32,6385
1,57579E+12;32,6385
1,57579E+12;32,6386
1,57579E+12;32,6387
1,57579E+12;32,6387
1,57579E+12;32,6388
1,57579E+12;32,6389
1,57579E+12;32,6389
1,57579E+12;32,639
1,57579E+12;32,6391
1,57579E+12;32,6392
1,57579E+12;32,6393
1,57579E+12;32,6393
1,57579E+12;32,6394
1,57579E+12;32,6395
1,57579E+12;32,6396
1,57579E+12;32,6397
1,57579E+12;32,6398
1,57579E+12;32,6399
1,57579E+12;32,64
1,57579E+12;32,6401
1,57579E+12;32,6402
1,57579E+12;32,6403
1,57579E+12;32,6404
1,57579E+12;32,6406
1,57579E+12;32,6407
1,57579E+12;32,6408
1,57579E+12;32,6409
1,57579E+12;32,6411
1,57579E+12;32,6412
1,57579E+12;32,6413
1,57579E+12;32,6414
1,57579E+12;32,6416
1,57579E+12;32,6417
1,57579E+12;32,6418
1,57579E+12;32,6419
1,57579E+12;32,6421
1,57579E+12;32,6422
1,57579E+12;32,6424
1,57579E+12;32,6425
1,57579E+12;32,6427
1,57579E+12;32,6428
1,57579E+12;32,643
1,57579E+12;32,6431
1,57579E+12;32,6433
1,57579E+12;32,6434
1,57579E+12;32,6436
1,57579E+12;32,6437
1,57579E+12;32,6439
1,57579E+12;32,644
1,57579E+12;32,6442
1,57579E+12;32,6443
1,57579E+12;32,6445
1,57579E+12;32,6446
1,57579E+12;32,6448
1,57579E+12;32,6449
1,57579E+12;32,6451
1,57579E+12;32,6452
1,57579E+12;32,6454
1,57579E+12;32,6456
1,57579E+12;32,6457
1,57579E+12;32,6459
1,57579E+12;32,646
1,57579E+12;32,6462
1,57579E+12;32,6464
1,57579E+12;32,6465
1,57579E+12;32,6467
1,57579E+12;32,6468
1,57579E+12;32,647
1,57579E+12;32,6471
1,57579E+12;32,6473
1,57579E+12;32,6474
1,57579E+12;32,6476
1,57579E+12;32,6478
1,57579E+12;32,6479
1,57579E+12;32,6481
1,57579E+12;32,6482
1,57579E+12;32,6484
1,57579E+12;32,6486
1,57579E+12;32,6487
1,57579E+12;32,6488
1,57579E+12;32,649
1,57579E+12;32,6491
1,57579E+12;32,6493
1,57579E+12;32,6494
1,57579E+12;32,6496
1,57579E+12;32,6497
1,57579E+12;32,6499
1,57579E+12;32,65
1,57579E+12;32,6502
1,57579E+12;32,6503
1,57579E+12;32,6505
1,57579E+12;32,6506
1,57579E+12;32,6507
1,57579E+12;32,6509
1,57579E+12;32,651
1,57579E+12;32,6512
1,57579E+12;32,6513
1,57579E+12;32,6515
1,57579E+12;32,6516
1,57579E+12;32,6518
1,57579E+12;32,6519
1,57579E+12;32,652
1,57579E+12;32,6521
1,57579E+12;32,6523
1,57579E+12;32,6524
1,57579E+12;32,6525
1,57579E+12;32,6526
1,57579E+12;32,6528
1,57579E+12;32,6529
1,57579E+12;32,653
1,57579E+12;32,6531
1,57579E+12;32,6533
1,57579E+12;32,6534
1,57579E+12;32,6535
1,57579E+12;32,6536
1,57579E+12;32,6538
1,57579E+12;32,6538
1,57579E+12;32,654
1,57579E+12;32,6541
1,57579E+12;32,6542
1,57579E+12;32,6543
1,57579E+12;32,6544
1,57579E+12;32,6545
1,57579E+12;32,6546
1,57579E+12;32,6547
1,57579E+12;32,6548
1,57579E+12;32,6549
1,57579E+12;32,655
1,57579E+12;32,6551
1,57579E+12;32,6552
1,57579E+12;32,6552
1,57579E+12;32,6553
1,57579E+12;32,6554
1,57579E+12;32,6555
1,57579E+12;32,6556
1,57579E+12;32,6557
1,57579E+12;32,6558
1,57579E+12;32,6558
1,57579E+12;32,6559
1,57579E+12;32,656
1,57579E+12;32,6561
1,57579E+12;32,6561
1,57579E+12;32,6562
1,57579E+12;32,6562
1,57579E+12;32,6563
1,57579E+12;32,6564
1,57579E+12;32,6564
1,57579E+12;32,6565
1,57579E+12;32,6566
1,57579E+12;32,6566
1,57579E+12;32,6567
1,57579E+12;32,6567
1,57579E+12;32,6568
1,57579E+12;32,6568
1,57579E+12;32,6569
1,57579E+12;32,6569
1,57579E+12;32,6569
1,57579E+12;32,657
1,57579E+12;32,657
1,57579E+12;32,6571
1,57579E+12;32,6571
1,57579E+12;32,6571
1,57579E+12;32,6572
1,57579E+12;32,6572
1,57579E+12;32,6572
1,57579E+12;32,6572
1,57579E+12;32,6573
1,57579E+12;32,6573
1,57579E+12;32,6573
1,57579E+12;32,6573
1,57579E+12;32,6574
1,57579E+12;32,6574
1,57579E+12;32,6574
